Ecosystem,Namespace,Name,Version,Artifact,Published,Detected
npm,@antv,g-plugin-image-loader,2.5.1,,2026-05-19T02:05:59.912Z,2026-05-19T02:12:38.281Z
npm,@antv,g-plugin-3d,2.3.1,,2026-05-19T02:06:00.804Z,2026-05-19T02:12:38.279Z
npm,@antv,g6-plugin-map-view,0.2.4,,2026-05-19T02:06:00.702Z,2026-05-19T02:12:38.274Z
npm,@antv,gi-assets-scene,2.4.21,,2026-05-19T02:06:01.683Z,2026-05-19T02:12:38.255Z
npm,@antv,chart-node-g6,0.2.4,,2026-05-19T02:06:01.252Z,2026-05-19T02:12:38.243Z
npm,,jest-canvas-mock,2.7.3,,2026-05-19T02:05:59.949Z,2026-05-19T02:12:38.217Z
npm,,gantt-for-react,0.4.0,,2026-05-19T02:05:59.963Z,2026-05-19T02:12:38.210Z
npm,@antv,g-camera-api,2.2.45,,2026-05-19T02:06:01.113Z,2026-05-19T02:12:38.198Z
npm,@antv,f-wx,1.12.0,,2026-05-19T02:05:59.859Z,2026-05-19T02:12:38.182Z
npm,@antv,g-mobile,1.3.5,,2026-05-19T02:06:00.033Z,2026-05-19T02:12:38.156Z
npm,@antv,narrative-text-editor,0.4.20,,2026-05-19T02:06:04.483Z,2026-05-19T02:12:38.137Z
npm,@antv,gi-assets-tugraph-analytics,0.4.15,,2026-05-19T02:06:00.651Z,2026-05-19T02:12:38.081Z
npm,@antv,path-util,3.2.1,,2026-05-19T02:06:00.376Z,2026-05-19T02:12:38.078Z
npm,@antv,gi-mock-data,1.2.5,,2026-05-19T02:05:59.653Z,2026-05-19T02:12:38.062Z
npm,@antv,f-lottie,1.12.0,,2026-05-19T02:06:00.098Z,2026-05-19T02:12:38.023Z
npm,@antv,gi-assets-galaxybase,1.4.15,,2026-05-19T02:06:02.196Z,2026-05-19T02:12:37.990Z
npm,,relationship.js,1.4.9,,2026-05-19T02:06:00.311Z,2026-05-19T02:12:37.990Z
npm,@antv,l7-maps,2.27.10,,2026-05-19T02:06:03.401Z,2026-05-19T02:12:37.984Z
npm,@lint-md,core,2.2.0,,2026-05-19T02:06:03.524Z,2026-05-19T02:12:37.970Z
npm,@antv,narrative-text-schema,0.5.7,,2026-05-19T02:06:00.279Z,2026-05-19T02:12:37.962Z
npm,@antv,f6-wx,0.2.7,,2026-05-19T02:06:00.293Z,2026-05-19T02:12:37.962Z
npm,@antv,f2-canvas,1.2.5,,2026-05-19T02:05:59.553Z,2026-05-19T02:12:37.940Z
npm,@antv,narrative-text-vis,0.5.16,,2026-05-19T02:06:04.756Z,2026-05-19T02:12:37.926Z
npm,@antv,f6-plugin,1.2.6,,2026-05-19T02:06:03.119Z,2026-05-19T02:12:37.894Z
npm,@antv,interaction,0.3.5,,2026-05-19T02:06:01.106Z,2026-05-19T02:12:37.881Z
npm,@antv,g-components,2.2.42,,2026-05-19T02:06:00.601Z,2026-05-19T02:12:37.867Z
npm,@antv,s2-react-components,2.3.2,,2026-05-19T02:06:04.752Z,2026-05-19T02:12:37.866Z
npm,@antv,g-webgl,2.3.1,,2026-05-19T02:06:00.970Z,2026-05-19T02:12:37.853Z
npm,,size-sensor,1.2.4,,2026-05-19T02:06:00.280Z,2026-05-19T02:12:37.838Z
npm,@antv,graphin,3.2.5,,2026-05-19T02:06:00.994Z,2026-05-19T02:12:37.688Z
npm,@antv,f6-element,0.2.1,,2026-05-19T02:06:00.712Z,2026-05-19T02:12:37.660Z
npm,,amapcn,0.3.2,,2026-05-19T02:05:59.265Z,2026-05-19T02:12:37.614Z
npm,@antv,g-plugin-annotation,1.4.0,,2026-05-19T02:06:00.190Z,2026-05-19T02:12:37.606Z
npm,@antv,g-plugin-webgl-device,1.11.17,,2026-05-19T02:06:00.564Z,2026-05-19T02:12:37.606Z
npm,,jest-date-mock,1.2.11,,2026-05-19T02:05:59.538Z,2026-05-19T02:12:37.570Z
npm,@antv,l7-react,2.6.3,,2026-05-19T02:06:03.466Z,2026-05-19T02:12:37.568Z
npm,@antv,g-plugin-a11y,1.6.1,,2026-05-19T02:05:59.859Z,2026-05-19T02:12:37.462Z
npm,@antv,f2-site,4.2.42,,2026-05-19T02:05:59.720Z,2026-05-19T02:12:37.434Z
npm,@antv,g-lite,2.9.0,,2026-05-19T02:06:04.310Z,2026-05-19T02:12:37.431Z
npm,@antv,react-g,2.3.1,,2026-05-19T02:06:01.288Z,2026-05-19T02:12:37.428Z
npm,@antv,algorithm,0.3.26,,2026-05-19T02:06:04.009Z,2026-05-19T02:12:37.427Z
npm,@antv,wx-f2,2.3.1,,2026-05-19T02:06:00.631Z,2026-05-19T02:12:37.393Z
npm,@antv,g-webgpu,2.3.1,,2026-05-19T02:06:00.948Z,2026-05-19T02:12:37.349Z
npm,@antv,thumbnails-component,2.2.0,,2026-05-19T02:06:01.261Z,2026-05-19T02:12:37.340Z
npm,@antv,g-device-api,1.8.13,,2026-05-19T02:06:02.746Z,2026-05-19T02:12:37.320Z
npm,@antv,g6-element,0.10.25,,2026-05-19T02:06:00.687Z,2026-05-19T02:12:37.306Z
npm,@antv,g-web-components,2.3.1,,2026-05-19T02:06:01.240Z,2026-05-19T02:12:37.303Z
npm,,echarts-for-react,3.2.7,,2026-05-19T02:06:00.194Z,2026-05-19T02:12:37.146Z
npm,@antv,word-scale-chart,0.5.4,,2026-05-19T02:05:59.767Z,2026-05-19T02:12:37.124Z
npm,,timeago-react,3.2.7,,2026-05-19T02:05:59.217Z,2026-05-19T02:12:37.092Z
